timestep,day,day_of_week,is_weekend,hour,num_vehicles,active_nodes,mean_node_load,max_node_load,mean_edge_load,max_edge_load,traffic,temperature,wind,aqi,disaster_type,disaster_zone,disaster_severity,zone_hazard,blocked_ratio,evacuated_count,evacuating_count,evac_rate,shelter_util,avg_response_time
12,0,0,0,12,20,45,1.2444444444444445,3.0,1.0,1.0,60.594837361698154,22.274894631654767,0.9710879533911798,105.49238225476486,none,-1,0.0,0.0,0.0,0,0,0.0,0.0,-1.0
13,0,0,0,13,20,44,1.2727272727272727,3.0,1.0,1.0,60.35300607100247,19.905548129140108,1.7346141472186578,105.37058484116194,none,-1,0.0,0.0,0.0,0,0,0.0,0.3333333333333333,-1.0
14,0,0,0,14,20,44,1.2727272727272727,4.0,1.0,1.0,67.38829692869719,18.32862598142189,1.6081981815679773,111.47759953578033,none,-1,0.0,0.0,0.0,0,0,0.0,0.6666666666666666,-1.0
15,0,0,0,15,20,45,1.2444444444444445,3.0,1.0,1.0,67.4367829121765,17.374019922604486,1.883642135221033,106.21441405948514,none,-1,0.0,0.0,0.0,0,0,0.0,1.0,-1.0
16,0,0,0,16,20,46,1.2173913043478262,2.0,1.0,1.0,71.41518520464295,17.453868235208727,2.656872008571246,113.20012405584565,none,-1,0.0,0.0,0.0,0,0,0.0,1.0,-1.0
17,0,0,0,17,20,45,1.2444444444444445,3.0,1.0,1.0,85.12217992977078,16.4937538623037,2.418235505964682,127.14453188093772,none,-1,0.0,0.0,0.0,0,0,0.0,0.0,-1.0
18,0,0,0,18,20,45,1.2444444444444445,3.0,1.0,1.0,84.49420896658806,15.971339168712039,3.4693930967442013,123.14651111501,none,-1,0.0,0.0,0.0,0,0,0.0,0.0,-1.0
19,0,0,0,19,20,46,1.2173913043478262,2.0,1.0,1.0,75.85350985730925,16.274082696856127,3.2985263625140204,109.75879983849042,none,-1,0.0,0.0,0.0,0,0,0.0,0.3333333333333333,-1.0
20,0,0,0,20,20,46,1.2173913043478262,2.0,1.0,1.0,66.80483404287124,16.628110067023357,3.857133771453524,103.40209840671758,none,-1,0.0,0.0,0.0,0,0,0.0,0.3333333333333333,-1.0
21,0,0,0,21,20,44,1.2727272727272727,4.0,1.0526315789473684,2.0,65.66984293706707,17.110564430566164,3.91013305870446,104.19845055241734,none,-1,0.0,0.0,0.0,0,0,0.0,1.0,-1.0
22,0,0,0,22,20,47,1.1914893617021276,3.0,1.0526315789473684,2.0,51.89434828704091,18.576191836986364,4.453018335610665,92.32899702712008,none,-1,0.0,0.0,0.0,0,0,0.0,0.3333333333333333,-1.0
23,0,0,0,23,20,46,1.2173913043478262,4.0,1.0526315789473684,2.0,49.07566957064274,19.88544325428299,4.350590095454272,85.67090583297517,none,-1,0.0,0.0,0.0,0,0,0.0,0.3333333333333333,-1.0
24,1,1,0,0,20,46,1.2173913043478262,5.0,1.0526315789473684,2.0,48.871901576550314,22.236896221651662,4.578316581653967,88.86411862223456,none,-1,0.0,0.0,0.0,0,0,0.0,0.6666666666666666,-1.0
25,1,1,0,1,20,46,1.2173913043478262,3.0,1.1111111111111112,2.0,42.24703498126941,22.420617676974796,4.322695142603995,81.94515618793244,none,-1,0.0,0.0,0.0,0,0,0.0,0.3333333333333333,-1.0
26,1,1,0,2,20,43,1.302325581395349,3.0,1.1111111111111112,2.0,43.668147045065574,24.870971430667193,4.420253362721019,86.44052422498932,none,-1,0.0,0.0,0.0,0,0,0.0,0.6666666666666666,-1.0
27,1,1,0,3,20,46,1.2173913043478262,3.0,1.1111111111111112,2.0,41.029154101288384,26.448680999697494,4.038326397049971,85.0101209598792,none,-1,0.0,0.0,0.0,0,0,0.0,0.3333333333333333,-1.0
28,1,1,0,4,20,44,1.2727272727272727,3.0,1.1764705882352942,2.0,43.63116274106413,27.244336590659454,4.488972633745586,87.8547281995479,none,-1,0.0,0.0,0.0,0,0,0.0,0.6666666666666666,-1.0
29,1,1,0,5,20,46,1.2173913043478262,4.0,1.1764705882352942,2.0,53.392625907268325,27.767785541970216,3.0376251563679215,100.63894247517341,none,-1,0.0,0.0,0.0,0,0,0.0,0.3333333333333333,-1.0
30,1,1,0,6,20,44,1.2727272727272727,3.0,1.1111111111111112,2.0,58.10820733583946,28.632825557634437,2.7271837635615785,101.78365487846334,none,-1,0.0,0.0,0.0,0,0,0.0,0.3333333333333333,-1.0
31,1,1,0,7,20,46,1.2173913043478262,3.0,1.1111111111111112,2.0,69.51150876905179,28.265040632774625,3.2689081200892125,113.21885722727696,none,-1,0.0,0.0,0.0,0,0,0.0,0.3333333333333333,-1.0
32,1,1,0,8,20,48,1.1666666666666667,4.0,1.0526315789473684,2.0,86.9833759974933,27.275873514776745,2.0989573037651406,132.41473189433367,none,-1,0.0,0.0,0.0,0,0,0.0,0.3333333333333333,-1.0
33,1,1,0,9,20,47,1.1914893617021276,3.0,1.0526315789473684,2.0,83.0517463363905,25.3927977161384,2.081417557410733,130.63479848162498,none,-1,0.0,0.0,0.0,0,0,0.0,0.6666666666666666,-1.0
34,1,1,0,10,20,47,1.1914893617021276,4.0,1.0526315789473684,2.0,83.91186578797573,24.37339736613101,1.6043434394616394,126.09296291394246,none,-1,0.0,0.0,0.0,0,0,0.0,0.0,-1.0
35,1,1,0,11,20,45,1.2444444444444445,3.0,1.0,1.0,63.470238163313994,23.73488221829843,1.943254086851126,108.61097265331523,none,-1,0.0,0.0,0.0,0,0,0.0,0.0,-1.0
36,1,1,0,12,20,48,1.1666666666666667,4.0,1.0526315789473684,2.0,67.50834972728842,22.207906235398738,1.7345468615331932,108.93109246577164,none,-1,0.0,0.0,0.0,0,0,0.0,0.3333333333333333,-1.0
37,1,1,0,13,20,45,1.2444444444444445,3.0,1.0526315789473684,2.0,62.35765492689831,20.864638981878393,1.6402066625363534,106.7838893795223,none,-1,0.0,0.0,0.0,0,0,0.0,0.6666666666666666,-1.0
38,1,1,0,14,20,46,1.2173913043478262,3.0,1.1111111111111112,2.0,65.96410307437611,18.455980222737207,1.770638003471643,106.55496340155541,none,-1,0.0,0.0,0.0,0,0,0.0,0.6666666666666666,-1.0
39,1,1,0,15,20,48,1.1666666666666667,3.0,1.1111111111111112,2.0,71.7804308359001,19.249978921796522,2.0814897044937144,114.7616213911709,none,-1,0.0,0.0,0.0,0,0,0.0,0.0,-1.0
40,1,1,0,16,20,45,1.2444444444444445,3.0,1.1111111111111112,2.0,81.4327242767188,16.02410224111151,2.4861253811227346,118.5551790489944,none,-1,0.0,0.0,0.0,0,0,0.0,0.6666666666666666,-1.0
41,1,1,0,17,20,47,1.1914893617021276,3.0,1.0,1.0,86.8215448871572,16.975145945661048,2.7356057104271683,129.23341474153733,none,-1,0.0,0.0,0.0,0,0,0.0,0.0,-1.0
42,1,1,0,18,20,51,1.0980392156862746,2.0,1.0,1.0,83.32731719459065,15.803689507197703,2.7738791506927525,119.78315335278056,none,-1,0.0,0.0,0.0,0,0,0.0,0.6666666666666666,-1.0
43,1,1,0,19,20,51,1.0980392156862746,3.0,1.0,1.0,85.60954281239391,16.142763674734308,3.490574160098774,124.27703353479211,none,-1,0.0,0.0,0.0,0,0,0.0,0.3333333333333333,-1.0
44,1,1,0,20,20,49,1.1428571428571428,3.0,1.0,1.0,72.20489207602415,16.814249090795695,4.186060223147195,114.58512644830431,none,-1,0.0,0.0,0.0,0,0,0.0,0.6666666666666666,-1.0
45,1,1,0,21,20,48,1.1666666666666667,3.0,1.0,1.0,58.483878688201244,18.25789319109272,3.8035129048549363,98.48085019161064,none,-1,0.0,0.0,0.0,0,0,0.0,0.6666666666666666,-1.0
46,1,1,0,22,20,47,1.1914893617021276,2.0,1.0,1.0,46.450462290917436,18.821229771739315,4.5132382539042855,85.11277651926758,none,-1,0.0,0.0,0.0,0,0,0.0,1.0,-1.0
47,1,1,0,23,20,48,1.1666666666666667,3.0,1.0,1.0,44.47219673411799,19.769650754930147,3.994434572027843,86.44359708602606,none,-1,0.0,0.0,0.0,0,0,0.0,1.6666666666666667,-1.0
48,2,2,0,0,20,49,1.1428571428571428,2.0,1.0,1.0,106.26567525704236,22.171274995304163,4.126278366386404,155.81518211484695,flood,2,0.7,0.7,0.05454545454545454,3,5,0.08333333333333333,1.3333333333333333,-1.0
49,2,2,0,1,20,45,1.2444444444444445,3.0,1.0,1.0,111.63703982167445,22.84582832165422,4.495006271217261,157.6424427778917,flood,2,0.7,0.7,0.06060606060606061,4,4,0.1111111111111111,1.0,-1.0
50,2,2,0,2,20,45,1.2444444444444445,3.0,1.0,1.0,112.79483635882792,25.286229888278626,4.467273463587128,164.52248754177015,flood,2,0.7,0.7,0.04040404040404041,4,4,0.1111111111111111,1.0,-1.0
51,2,2,0,3,20,47,1.1914893617021276,3.0,1.0,1.0,114.67656863276288,25.14050519275361,3.779312659805284,166.25068970327519,flood,2,0.7,0.7,0.04242424242424243,4,4,0.1111111111111111,0.6666666666666666,-1.0
52,2,2,0,4,20,42,1.3333333333333333,4.0,1.0,1.0,123.36967812306256,27.60819057175147,4.905819447196416,175.30751919621966,flood,2,0.7,0.7,0.06262626262626263,4,4,0.1111111111111111,0.6666666666666666,-1.0
53,2,2,0,5,20,41,1.3658536585365855,3.0,1.0526315789473684,2.0,128.23559382696644,28.55875636852897,3.5836459430455205,181.81523507042274,flood,2,0.7,0.7,0.06868686868686869,4,4,0.1111111111111111,0.6666666666666666,-1.0
54,2,2,0,6,20,42,1.3333333333333333,4.0,1.1176470588235294,2.0,165.34679443915027,27.38173982836994,2.928954417977997,216.11683283280408,flood,2,0.7,0.7,0.05454545454545454,4,4,0.1111111111111111,0.3333333333333333,-1.0
55,2,2,0,7,20,46,1.2173913043478262,3.0,1.1111111111111112,2.0,194.56688419937635,29.647281811073217,2.0515918745686945,243.13656624380857,flood,2,0.7,0.7,0.03838383838383838,4,4,0.1111111111111111,0.6666666666666666,-1.0
56,2,2,0,8,20,44,1.2727272727272727,3.0,1.1111111111111112,2.0,221.07657201387298,26.818606930075084,2.57668517909021,266.99479138231766,flood,2,0.7,0.7,0.048484848484848485,5,3,0.1388888888888889,1.0,-1.0
57,2,2,0,9,20,44,1.2727272727272727,5.0,1.1764705882352942,2.0,261.34014163196554,25.67039771971131,2.1432191529005817,307.89561983073145,flood,2,0.7,0.7,0.052525252525252523,6,2,0.16666666666666666,1.0,-1.0
58,2,2,0,10,20,44,1.2727272727272727,3.0,1.1764705882352942,2.0,211.61779808353617,25.03645747192305,1.5054817900415969,262.16602696948655,flood,2,0.7,0.7,0.04242424242424243,7,1,0.19444444444444445,0.6666666666666666,-1.0
59,2,2,0,11,20,41,1.3658536585365855,3.0,1.1764705882352942,2.0,181.64193952202396,21.93280020128904,1.607047554997226,232.2564732382286,flood,2,0.7,0.7,0.04040404040404041,8,0,0.2222222222222222,0.3333333333333333,-1.0
60,2,2,0,12,20,47,1.1914893617021276,3.0,1.1875,2.0,176.33230230062568,21.36598340925384,1.4655790675599303,227.15356194092837,flood,2,0.7,0.7,0.06060606060606061,8,0,0.2222222222222222,1.0,-1.0
61,2,2,0,13,20,44,1.2727272727272727,5.0,1.1176470588235294,2.0,195.60733329385315,19.486848603740253,1.4507608898141129,241.41685747236758,flood,2,0.7,0.7,0.03838383838383838,8,0,0.2222222222222222,1.0,-1.0
62,2,2,0,14,20,42,1.3333333333333333,4.0,1.125,2.0,188.24159638885567,20.412363392224876,1.8224564076116285,237.4761100770675,flood,2,0.7,0.7,0.044444444444444446,8,0,0.2222222222222222,0.3333333333333333,-1.0
63,2,2,0,15,20,45,1.2444444444444445,3.0,1.0526315789473684,2.0,194.4328772546012,19.455084270490822,2.249079406385522,239.34453454469173,flood,2,0.7,0.7,0.044444444444444446,8,0,0.2222222222222222,0.0,-1.0
64,2,2,0,16,20,46,1.2173913043478262,2.0,1.0526315789473684,2.0,205.41308230614175,17.817376496642666,2.037699160314365,251.7309347143438,flood,2,0.7,0.7,0.050505050505050504,8,0,0.2222222222222222,0.0,-1.0
65,2,2,0,17,20,50,1.12,2.0,1.0526315789473684,2.0,229.4687134241283,15.462900665003124,2.593913825527679,268.8008357151607,flood,2,0.7,0.7,0.05656565656565657,8,0,0.2222222222222222,0.0,-1.0
66,2,2,0,18,20,47,1.1914893617021276,5.0,1.0526315789473684,2.0,291.96996166194384,15.797945478885472,2.625665045410545,327.4989867636555,flood,2,0.7,0.7,0.05454545454545454,8,0,0.2222222222222222,0.0,66.0
67,2,2,0,19,20,43,1.302325581395349,4.0,1.0526315789473684,2.0,249.32909240691717,15.852409452908002,3.427450740839608,285.7258174979685,flood,2,0.7,0.7,0.052525252525252523,8,0,0.2222222222222222,0.3333333333333333,66.5
68,2,2,0,20,20,46,1.2173913043478262,3.0,1.0526315789473684,2.0,201.58954122251063,17.734378579017335,3.753069918305876,244.68326745908178,flood,2,0.7,0.7,0.05656565656565657,8,0,0.2222222222222222,0.6666666666666666,66.5
69,2,2,0,21,20,44,1.2727272727272727,6.0,1.0526315789473684,2.0,203.42178056521044,17.91660706933949,3.8805951086321824,244.6252460575516,flood,2,0.7,0.7,0.04242424242424243,8,0,0.2222222222222222,0.3333333333333333,67.33333333333333
70,2,2,0,22,20,47,1.1914893617021276,3.0,1.0555555555555556,2.0,144.04798941063527,19.090813876200993,4.497677308032972,186.1736228815076,flood,2,0.7,0.7,0.05858585858585859,8,0,0.2222222222222222,0.0,67.33333333333333
71,2,2,0,23,20,45,1.2444444444444445,3.0,1.0526315789473684,2.0,125.47891426535834,22.153512429109885,3.8632623995768522,174.88481496174703,flood,2,0.7,0.7,0.044444444444444446,8,0,0.2222222222222222,0.3333333333333333,67.33333333333333
72,3,3,0,0,20,49,1.1428571428571428,2.0,1.0526315789473684,2.0,110.29890497234703,22.224793494188027,4.313190144053822,157.6204900457293,flood,2,0.7,0.7,0.06060606060606061,8,0,0.2222222222222222,0.6666666666666666,67.33333333333333
73,3,3,0,1,20,49,1.1428571428571428,3.0,1.0,1.0,115.26604971253961,23.081422465059756,4.70376936853991,161.7856794025103,flood,2,0.7,0.7,0.06464646464646465,8,0,0.2222222222222222,1.3333333333333333,67.33333333333333
74,3,3,0,2,20,49,1.1428571428571428,3.0,1.0,1.0,115.85881852870902,25.719679900346602,4.391227961939641,166.94499449220802,flood,2,0.7,0.7,0.0707070707070707,8,0,0.2222222222222222,0.0,67.33333333333333
75,3,3,0,3,20,45,1.2444444444444445,3.0,1.0,1.0,113.26449226536769,25.579444678381627,3.8926058597207303,165.16253338052294,flood,2,0.7,0.7,0.048484848484848485,8,0,0.2222222222222222,0.0,67.33333333333333
76,3,3,0,4,20,47,1.1914893617021276,3.0,1.0,1.0,119.00615434446814,27.179431147535315,3.7851982149926346,169.26507383672927,flood,2,0.7,0.7,0.046464646464646465,8,0,0.2222222222222222,0.3333333333333333,67.33333333333333
77,3,3,0,5,20,46,1.2173913043478262,4.0,1.0,1.0,137.67051048996376,28.23323286267044,3.3275707719236127,191.6887035088309,flood,2,0.7,0.7,0.05656565656565657,8,0,0.2222222222222222,1.0,67.33333333333333
78,3,3,0,6,20,48,1.1666666666666667,3.0,1.0,1.0,155.2503660864063,28.660333079190423,3.2440528908001918,206.60255403362595,flood,2,0.7,0.7,0.05858585858585859,8,0,0.2222222222222222,0.3333333333333333,67.33333333333333
79,3,3,0,7,20,47,1.1914893617021276,3.0,1.0,1.0,187.72836606713142,28.34111733477038,2.518691405368182,238.13936994057408,flood,2,0.7,0.7,0.05454545454545454,8,0,0.2222222222222222,0.0,67.33333333333333
80,3,3,0,8,20,49,1.1428571428571428,3.0,1.0555555555555556,2.0,227.48489241677635,27.273749194700805,2.4285471076310747,279.91030903218416,flood,2,0.7,0.7,0.05656565656565657,8,0,0.2222222222222222,0.3333333333333333,67.33333333333333
81,3,3,0,9,20,49,1.1428571428571428,3.0,1.0526315789473684,2.0,235.41544996054384,25.437826781919522,1.5750832443838592,285.19867438948404,flood,2,0.7,0.7,0.030303030303030304,8,0,0.2222222222222222,0.6666666666666666,67.33333333333333
82,3,3,0,10,20,47,1.1914893617021276,3.0,1.0526315789473684,2.0,212.59934360790777,25.499295853641723,1.889465547102626,259.67633552867943,flood,2,0.7,0.7,0.03636363636363636,8,0,0.2222222222222222,0.0,67.33333333333333
83,3,3,0,11,20,45,1.2444444444444445,2.0,1.1111111111111112,2.0,173.41967398751328,23.61355791717011,1.3479627471127642,223.78529198419648,flood,2,0.7,0.7,0.048484848484848485,8,0,0.2222222222222222,0.0,67.33333333333333
84,3,3,0,12,20,42,1.3333333333333333,3.0,1.1111111111111112,2.0,169.78462696888232,21.33960224256599,1.403584247504102,218.158992952235,flood,2,0.7,0.7,0.06464646464646465,8,0,0.2222222222222222,1.0,67.33333333333333
85,3,3,0,13,20,45,1.2444444444444445,3.0,1.1111111111111112,2.0,171.51332951925656,19.78930941293173,1.624217424013971,218.70914899124156,flood,2,0.7,0.7,0.05656565656565657,8,0,0.2222222222222222,1.6666666666666667,67.33333333333333
86,3,3,0,14,20,49,1.1428571428571428,3.0,1.0555555555555556,2.0,182.56800956167632,18.623169355505343,1.7705768755306326,226.53450167951834,flood,2,0.7,0.7,0.06262626262626263,8,0,0.2222222222222222,0.3333333333333333,67.33333333333333
87,3,3,0,15,20,48,1.1666666666666667,3.0,1.0526315789473684,2.0,200.43973996643547,17.182603935878767,1.875305682706624,248.3184084744155,flood,2,0.7,0.7,0.05454545454545454,8,0,0.2222222222222222,0.3333333333333333,67.33333333333333
88,3,3,0,16,20,48,1.1666666666666667,2.0,1.0555555555555556,2.0,208.14303463527983,17.489975275854984,2.202018441010971,250.3270810703429,flood,2,0.7,0.7,0.06060606060606061,8,0,0.2222222222222222,0.0,67.33333333333333
89,3,3,0,17,20,43,1.302325581395349,3.0,1.0526315789473684,2.0,239.39604648142787,16.18963453347168,2.5251738406701776,279.1358031185889,flood,2,0.7,0.7,0.046464646464646465,8,0,0.2222222222222222,1.3333333333333333,67.33333333333333
90,3,3,0,18,20,45,1.2444444444444445,3.0,1.0526315789473684,2.0,248.93411375119533,16.415477211392936,3.4598216739007728,289.28362929585836,flood,2,0.7,0.7,0.05656565656565657,8,0,0.2222222222222222,1.0,67.33333333333333
91,3,3,0,19,20,50,1.12,4.0,1.0526315789473684,2.0,259.6879570418887,16.75656023563448,3.26786242608803,299.2162722392159,flood,2,0.7,0.7,0.048484848484848485,8,0,0.2222222222222222,0.6666666666666666,67.33333333333333
92,3,3,0,20,20,47,1.1914893617021276,3.0,1.0526315789473684,2.0,204.0255105283361,16.881988456132433,3.51809706484336,246.97636993153364,flood,2,0.7,0.7,0.046464646464646465,8,0,0.2222222222222222,0.3333333333333333,67.33333333333333
93,3,3,0,21,20,49,1.1428571428571428,2.0,1.0,1.0,154.52206068501928,18.91827419911675,4.348441419605383,197.20880706313784,flood,2,0.7,0.7,0.046464646464646465,8,0,0.2222222222222222,1.0,67.33333333333333
94,3,3,0,22,20,48,1.1666666666666667,4.0,1.0,1.0,150.96326977713832,19.69785650937654,4.3540407073981635,194.16586566589115,flood,2,0.7,0.7,0.05454545454545454,8,0,0.2222222222222222,2.0,67.33333333333333
95,3,3,0,23,20,48,1.1666666666666667,3.0,1.0,1.0,121.40256141269899,19.775308255640248,4.2690709458003955,166.826829326024,flood,2,0.7,0.7,0.04242424242424243,8,0,0.2222222222222222,0.0,67.33333333333333
96,4,4,0,0,20,48,1.1666666666666667,3.0,1.0,1.0,41.80897879696124,21.392693870757043,4.545118135942862,85.96466414695274,none,-1,0.0,0.0,0.0,8,0,0.2222222222222222,0.6666666666666666,67.33333333333333
97,4,4,0,1,20,47,1.1914893617021276,3.0,1.0,1.0,40.26865894148999,24.313253341163968,4.275817642734881,83.77004544669288,none,-1,0.0,0.0,0.0,8,0,0.2222222222222222,0.3333333333333333,67.33333333333333
98,4,4,0,2,20,45,1.2444444444444445,4.0,1.0,1.0,45.006221364637064,23.943813434383486,4.848475735432964,85.22909520441397,none,-1,0.0,0.0,0.0,8,0,0.2222222222222222,0.3333333333333333,67.33333333333333
99,4,4,0,3,20,45,1.2444444444444445,3.0,1.0526315789473684,2.0,42.41982148106366,24.872133063846583,4.466821884029445,87.3072212016259,none,-1,0.0,0.0,0.0,8,0,0.2222222222222222,0.6666666666666666,67.33333333333333
100,4,4,0,4,20,43,1.302325581395349,4.0,1.0,1.0,44.94033115921668,25.92061029567114,3.570187493113868,89.33131146242226,none,-1,0.0,0.0,0.0,8,0,0.2222222222222222,1.0,67.33333333333333
101,4,4,0,5,20,44,1.2727272727272727,3.0,1.0526315789473684,2.0,46.599774560835115,27.435502580551017,3.5750835473580307,91.35441960628097,none,-1,0.0,0.0,0.0,8,0,0.2222222222222222,1.3333333333333333,67.33333333333333
102,4,4,0,6,20,45,1.2444444444444445,3.0,1.0,1.0,55.47807477726817,28.096236505369518,3.1543316502176246,98.86088629233406,none,-1,0.0,0.0,0.0,8,0,0.2222222222222222,0.3333333333333333,67.33333333333333
103,4,4,0,7,20,44,1.2727272727272727,3.0,1.0526315789473684,2.0,69.6820200459409,26.568263621145913,2.9950744789157717,112.52137179589576,none,-1,0.0,0.0,0.0,8,0,0.2222222222222222,0.3333333333333333,67.33333333333333
104,4,4,0,8,20,40,1.4,5.0,1.0526315789473684,2.0,91.53738958041393,28.43707400312465,2.2847023902878583,137.08042394147142,none,-1,0.0,0.0,0.0,8,0,0.2222222222222222,1.0,67.33333333333333
105,4,4,0,9,20,40,1.4,4.0,1.0526315789473684,2.0,86.19497263774461,27.891239027024874,2.4659420809531403,133.22304004310476,none,-1,0.0,0.0,0.0,8,0,0.2222222222222222,1.0,67.33333333333333
106,4,4,0,10,20,40,1.4,4.0,1.0526315789473684,2.0,78.62508887340832,25.51630075966812,2.1115513615830466,124.72142058901936,none,-1,0.0,0.0,0.0,8,0,0.2222222222222222,0.3333333333333333,67.33333333333333
107,4,4,0,11,20,44,1.2727272727272727,3.0,1.1111111111111112,2.0,66.19847617275265,24.399653860094798,1.0234894146394633,108.59231456822383,none,-1,0.0,0.0,0.0,8,0,0.2222222222222222,0.0,67.33333333333333
108,4,4,0,12,20,40,1.4,3.0,1.0526315789473684,2.0,62.15565143375705,21.784474532444353,1.7152626767387886,106.43309913297108,none,-1,0.0,0.0,0.0,8,0,0.2222222222222222,0.6666666666666666,67.33333333333333
109,4,4,0,13,20,40,1.4,4.0,1.1111111111111112,2.0,63.30374270859173,21.749978165841906,1.13708082310193,108.17061884961886,none,-1,0.0,0.0,0.0,8,0,0.2222222222222222,0.3333333333333333,67.33333333333333
110,4,4,0,14,20,45,1.2444444444444445,3.0,1.1111111111111112,2.0,63.15158656942702,19.307252359151445,1.6911534698951138,105.72891040763119,none,-1,0.0,0.0,0.0,8,0,0.2222222222222222,0.3333333333333333,67.33333333333333
111,4,4,0,15,20,43,1.302325581395349,3.0,1.1111111111111112,2.0,70.86615372624794,16.713783712476832,2.14024159286919,109.21128096055239,none,-1,0.0,0.0,0.0,8,0,0.2222222222222222,0.0,67.33333333333333
112,4,4,0,16,20,44,1.2727272727272727,3.0,1.1111111111111112,2.0,79.66864616207438,16.392754043424013,1.9322359434333136,121.51993570936304,none,-1,0.0,0.0,0.0,8,0,0.2222222222222222,0.0,67.33333333333333
113,4,4,0,17,20,40,1.4,4.0,1.1111111111111112,2.0,91.69883606940097,15.415864205197154,2.762985387001572,127.58609729506213,none,-1,0.0,0.0,0.0,8,0,0.2222222222222222,0.0,67.33333333333333
114,4,4,0,18,20,40,1.4,3.0,1.1764705882352942,2.0,87.64507656015196,15.914375712036353,2.6894273032741873,123.31688990334794,none,-1,0.0,0.0,0.0,8,0,0.2222222222222222,0.6666666666666666,67.33333333333333
115,4,4,0,19,20,43,1.302325581395349,3.0,1.1764705882352942,2.0,83.50216227327421,17.7762251485987,3.3988076332452994,122.09384559961576,none,-1,0.0,0.0,0.0,8,0,0.2222222222222222,0.0,67.33333333333333
116,4,4,0,20,20,45,1.2444444444444445,3.0,1.1764705882352942,2.0,74.19759145349443,16.713985137540703,3.683709120140033,113.30148453433765,none,-1,0.0,0.0,0.0,8,0,0.2222222222222222,0.3333333333333333,67.33333333333333
117,4,4,0,21,20,41,1.3658536585365855,4.0,1.1764705882352942,2.0,63.671968690365404,17.332958394792293,3.887914699586417,97.19699152417346,none,-1,0.0,0.0,0.0,8,0,0.2222222222222222,0.6666666666666666,67.33333333333333
118,4,4,0,22,20,42,1.3333333333333333,4.0,1.1764705882352942,2.0,55.88927701483405,17.787847150241156,4.709100385910015,92.8454964001562,none,-1,0.0,0.0,0.0,8,0,0.2222222222222222,0.6666666666666666,67.33333333333333
119,4,4,0,23,20,41,1.3658536585365855,4.0,1.0526315789473684,2.0,51.04211457580607,20.908331299829484,4.5422637857966635,92.96111882751646,none,-1,0.0,0.0,0.0,8,0,0.2222222222222222,0.6666666666666666,67.33333333333333
120,5,5,1,0,20,41,1.3658536585365855,4.0,1.0555555555555556,2.0,79.69834657105122,21.897665926815385,4.213337867819872,128.72273218546977,fire,4,0.6,0.62,0.06464646464646465,9,9,0.25,1.0,67.33333333333333
